created_at,tweet
Thu Feb 09 05:36:44 +0000 2023,"RT @carolfaria__: estava todo mundo apostando no brasil na copa, mas alguém pipocou"
Thu Feb 09 05:30:37 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 05:24:49 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 05:24:25 +0000 2023,@MadridismoreaI @RodrygoGoes @DaniCeballos46 Queria que ele parasse na zona mista depois que eliminou o Brasil na C… https://t.co/uwYkiTgKFz
Thu Feb 09 05:21:34 +0000 2023,"@RodrygoGoes LEMBRANDO: O SENHOR JUNTO COM TITE, FORAM RESPONSÁVEIS PELA ELIMINAÇÃO DO BRASIL NA COPA DO MUNDO."
Thu Feb 09 05:10:12 +0000 2023,"era só o Rodrygo ter ficado quieto, agora vai ser lembrado como o maior culpado da eliminação do Brasil na copa eternamente kkkkkkkk"
Thu Feb 09 05:08:49 +0000 2023,@RodrygoGoes Queria que ele parasse na zona mista depois que eliminou o Brasil na Copa perdendo pênalti. Mas quem d… https://t.co/HOM7gc6HPJ
Thu Feb 09 04:58:55 +0000 2023,"@RodrygoGoes Ser for para os pênaltis fudeu, vai ser igual o Brasil na copa, e espero que você perca mais uma vez kkkk"
Thu Feb 09 04:31:45 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 04:30:15 +0000 2023,RT @realmilgrauu: Modric o pênalti que era pra vc perder foi no dia 6 de dezembro contra o Brasil na copa do mundo!
Thu Feb 09 04:27:41 +0000 2023,"RT @carolfaria__: estava todo mundo apostando no brasil na copa, mas alguém pipocou"
Thu Feb 09 04:16:29 +0000 2023,"RT @carolfaria__: estava todo mundo apostando no brasil na copa, mas alguém pipocou"
Thu Feb 09 04:05:13 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 04:02:04 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 03:57:55 +0000 2023,Sim boy eu **** rápido se nem o Brasil na copa aguentou 4 minutos pq eu tenho que aguentar?
Thu Feb 09 03:39:04 +0000 2023,"RT @brunomassa: E o Rodrigo, à partir de agora será um dos principais vilões da eliminação do Brasil na Copa, não terá o reconhecimento da…"
Thu Feb 09 03:37:00 +0000 2023,@_Zitoo Bora pra Argentina em março ver a campeã do mundo jogar
Thu Feb 09 03:35:17 +0000 2023,"RT @ThiagoRebelo4: @RodrygoGoes O mundo dá voltas. Vamos ver o que o futuro reserva para você.

Até pq o seu passado recente profissionalme…"
Thu Feb 09 03:20:40 +0000 2023,@joninho_play @Levivendis @KimKataguiri @tarcisiogdf Ir ao Catar assistir o jogo do brasil na copa com dinheiro púb… https://t.co/JlMpM4HT6u
